state,year,pres,gov,grade,subject,bb,ba,pr,ad
AL,2009,R,R,8,READING,34.2788397662765,41.9212018043881,22.335555054566,1.46440337476948
AL,2009,R,R,8,SCIENCE,49.0279545363884,31.615654216668,18.7396274488348,0.616763798108739
AL,2011,R,R,4,MATHEMATICS,25.3692635545273,47.3435694247313,24.7148148675267,2.5723521532147
AL,2011,R,R,4,READING,32.7618798229995,35.7804026747845,24.9457339527238,6.51198354949223
AL,2011,R,R,8,MATHEMATICS,39.8934225757914,40.0451221042463,17.2455074113533,2.815947908609
AL,2011,R,R,8,READING,30.9653826800265,43.461137298051,23.5428209315546,2.03065909036801
AL,2011,R,R,8,SCIENCE,46.8136406911393,33.8060914244973,18.7602803738036,0.619987510559783
AL,2013,R,R,4,MATHEMATICS,24.9492844488086,45.2615453201574,26.4062770533818,3.38289317765217
AL,2013,R,R,4,READING,34.5945388531121,34.6555856666218,24.2522518880898,6.49762359217634
AL,2013,R,R,8,MATHEMATICS,40.1846703780024,40.076035094722,16.4077141243514,3.33158040292431
AL,2013,R,R,8,READING,31.5749715715351,43.3638386390994,23.4337931638859,1.62739662547952
AL,2015,R,R,4,MATHEMATICS,25.4021231875515,48.5179502018787,23.8253876086053,2.25453900196444
AL,2015,R,R,4,READING,35.4981661573581,35.8044114243633,23.9239027094498,4.77351970882878
AL,2015,R,R,4,SCIENCE,32.1102640806229,40.3040279885133,26.9689490556839,0.616758875179967
AL,2015,R,R,8,MATHEMATICS,44.3139267177954,38.4818662307613,14.2684735835645,2.93573346787886
AL,2015,R,R,8,READING,28.5343075684317,45.8670423620218,23.6801488672322,1.9185012023143
AL,2015,R,R,8,SCIENCE,46.3306604538819,32.3374028801045,20.7729152043361,0.559021461677507
AL,2017,R,R,4,MATHEMATICS,26.6626289924368,42.1402349211444,27.6373753713413,3.55976071507748
AL,2017,R,R,4,READING,36.849168881779,31.7100773233384,24.7104656134841,6.73028818139861
AL,2017,R,R,8,MATHEMATICS,45.3204537546662,33.9034902349884,16.2390125546865,4.53704345565896
AL,2017,R,R,8,READING,32.5497945974485,39.7727065836005,25.3849382398096,2.29256057914141
AL,2019,R,R,4,MATHEMATICS,28.5087588404784,43.3941759607694,24.7154648851373,3.38160031361482
AL,2019,R,R,4,READING,42.2722215193281,29.5719349432065,22.5249876480294,5.63085588943597
AL,2019,R,R,8,MATHEMATICS,42.7805023568397,35.9402767965779,17.3451226556505,3.93409819093188
AL,2019,R,R,8,READING,36.1024076616378,40.3007939251969,21.7463603849724,1.85043802819281
AL,1994,R,D,4,READING,47.7484626036715,28.8654881047778,18.1541524814937,5.23189681005702
AL,1998,R,D,4,READING,44.2534938091027,32.1599721671778,19.4153416694195,4.1711923543001
AL,1998,R,D,8,READING,32.9700407859558,45.3070245186419,20.7892690551931,0.933665640209147
AL,2002,R,D,4,READING,48.0737060676138,29.6189477209939,17.8795377790766,4.4278084323157
AL,2002,R,D,8,READING,36.0369325120062,42.6442542245028,20.123097163627,1.19571609986406
AL,1990,R,R,8,MATHEMATICS,59.7283772192286,31.2143776601198,8.10311412361507,0.954130997036543
AK,1996,R,D,4,MATHEMATICS,35.4619780200255,43.9159975259727,18.5798682973567,2.0421561566451
AK,1996,R,D,8,MATHEMATICS,32.2571768106431,37.8381737498863,23.202277234125,6.70237220534567
AK,2003,R,R,4,MATHEMATICS,25.2296575351952,44.6130617786138,26.585356986724,3.57192369946697
AK,2003,R,R,4,READING,42.3451785737791,29.9307796603993,21.6956448342392,6.02839693158243
AK,2003,R,R,4,SCIENCE,6.02839693158243,6.02839693158243,6.02839693158243,6.02839693158243
AK,2003,R,R,8,MATHEMATICS,30.3107537363217,39.7388487702237,24.2579548735076,5.69244261994704
AK,2003,R,R,8,READING,33.3339588252329,39.8955487805092,24.1168066941478,2.65368570011013
AK,2005,R,R,4,MATHEMATICS,23.0911593242402,43.1980369200934,29.2047543253125,4.50604943035383
AK,2005,R,R,4,READING,41.85273298719,31.4346585176952,21.4143651127291,5.29824338238566
AK,2005,R,R,4,SCIENCE,5.29824338238566,5.29824338238566,5.29824338238566,5.29824338238566
AK,2005,R,R,8,MATHEMATICS,31.1065938243501,40.1604114633775,22.9207578045584,5.81223690771403
AK,2005,R,R,8,READING,29.9894432178937,43.5629683778449,24.5761381261718,1.87145027808966
AK,2007,R,R,4,MATHEMATICS,21.1626544528965,40.9446419188118,32.0795209932451,5.81318263504657
AK,2007,R,R,4,READING,38.3086874151198,32.9522780803962,22.3473272913697,6.39170721311431
AK,2007,R,R,4,SCIENCE,6.39170721311431,6.39170721311431,6.39170721311431,6.39170721311431
AK,2007,R,R,8,MATHEMATICS,27.0168271552928,40.7506760539362,25.148937682419,7.08355910835205
AK,2007,R,R,8,READING,29.2313633032202,43.6994320679968,25.2313159732275,1.83788865555552
AK,2009,R,R,4,MATHEMATICS,21.6625253051178,40.5001704812044,31.9420804451897,5.89522376848818
AK,2009,R,R,4,READING,40.9708454537746,31.8620062390394,21.9027477630702,5.26440054411587
AK,2009,R,R,4,SCIENCE,5.26440054411587,5.26440054411587,5.26440054411587,5.26440054411587
AK,2009,R,R,8,MATHEMATICS,25.489080029227,41.0537711577111,27.2541014607467,6.20304735231525
AK,2009,R,R,8,READING,28.4216889271548,44.5372536141936,25.4517241763414,1.58933328231023
AK,2011,R,R,4,MATHEMATICS,22.2010571936108,41.2383635679832,30.9050200752791,5.65555916312691
AK,2011,R,R,4,READING,44.0687245064738,30.3623896377052,20.4139469166531,5.15493893916784
AK,2011,R,R,4,SCIENCE,5.15493893916784,5.15493893916784,5.15493893916784,5.15493893916784
AK,2011,R,R,8,MATHEMATICS,25.6311497481842,39.1939886306924,27.7679134610866,7.40694816003675
AK,2011,R,R,8,READING,27.0204439016687,42.017678000857,28.3223686633115,2.6395094341628
AK,2011,R,R,8,SCIENCE,31.8111036907789,34.6315546095305,32.2733782616422,1.28396343804843
AK,2013,R,R,4,MATHEMATICS,23.4511738930303,39.875052555263,30.4178109787712,6.25596257293548
AK,2013,R,R,4,READING,42.0940233063461,30.4143264676399,21.614601211812,5.87704901420206
AK,2013,R,R,4,SCIENCE,5.87704901420206,5.87704901420206,5.87704901420206,5.87704901420206
AK,2013,R,R,8,MATHEMATICS,28.1494439092766,38.8177051553675,25.9741541638418,7.05869677151408
AK,2013,R,R,8,READING,28.532109167087,40.396439161283,28.1163970132844,2.9550546583455
AK,2015,R,I,4,MATHEMATICS,22.2923080116762,42.59416937509,29.1029368282933,6.01058578494045
AK,2015,R,I,4,READING,38.7613048018614,31.3130090880479,23.5494762161628,6.37620989392786
AK,2015,R,I,4,SCIENCE,6.37620989392786,6.37620989392786,6.37620989392786,6.37620989392786
AK,2015,R,I,8,MATHEMATICS,29.0468444711267,39.1284841887847,24.9994528778147,6.82521846227387
AK,2015,R,I,8,READING,29.2050421600987,39.4448805626305,28.7171194231231,2.63295785414775
AK,2017,R,I,4,MATHEMATICS,29.0685370206737,39.2755073963535,26.4315198352904,5.22443574768237
AK,2017,R,I,4,READING,43.6242201763013,28.1684814795774,22.318453050733,5.88884529338828
AK,2017,R,I,4,SCIENCE,5.88884529338828,5.88884529338828,5.88884529338828,5.88884529338828
AK,2017,R,I,8,MATHEMATICS,34.3139685205604,36.4599580969563,21.0935104747806,8.1325629077028
AK,2017,R,I,8,READING,30.3396050119591,43.5235924952522,24.6415058437141,1.49529664907466
AK,2019,R,R,4,MATHEMATICS,27.1430579888557,39.690383365297,27.8555084099376,5.31105023590964
AK,2019,R,R,4,READING,46.7523371823267,28.1960812811068,19.7476941597555,5.30388737681106
AK,2019,R,R,4,SCIENCE,5.30388737681106,5.30388737681106,5.30388737681106,5.30388737681106
AK,2019,R,R,8,MATHEMATICS,36.9195371188666,34.0404607474797,21.9495358001468,7.09046633350688
AK,2019,R,R,8,READING,36.7326510602348,39.9764185364753,21.4619629200496,1.82896748324026
AZ,1992,R,R,4,MATHEMATICS,46.5286806035856,40.3968898116963,12.259694059688,0.814735525029998
AZ,1992,R,R,4,READING,45.6622999883145,33.5195736575172,17.6955105012365,3.12261585293181
AZ,1992,R,R,8,MATHEMATICS,45.3392041346124,39.5948304635819,13.6167003977662,1.44926500403953
AZ,1996,D,R,4,MATHEMATICS,43.4882731953623,41.2599570723159,13.8312390806521,1.42053065166976
AZ,1996,D,R,8,MATHEMATICS,42.5608443311515,39.7239441815497,15.9151240588214,1.80008742847739
AZ,2000,R,R,4,MATHEMATICS,43.2696274714601,40.9085949288512,14.3549879184008,1.46678968128792
AZ,2000,R,R,8,MATHEMATICS,40.239338496114,39.6717214818723,16.6009365015213,3.48800352049246
AZ,2003,R,D,4,MATHEMATICS,29.9506675772436,44.6175524576958,23.2261134397597,2.20566652530092
AZ,2003,R,D,4,READING,45.7540009850561,30.779699916539,18.9921974920112,4.47410160639368
AZ,2003,R,D,8,MATHEMATICS,38.5429204580623,40.5716138551981,18.1914093688297,2.69405631790997
AZ,2003,R,D,8,READING,33.6827505842487,41.3846301503295,23.3199495111362,1.61266975428567
AZ,2005,R,D,4,MATHEMATICS,29.6430890606826,42.4940774089041,24.5792943651618,3.28353916525147
AZ,2005,R,D,4,READING,47.8819762180527,28.4938348674434,18.0865122640022,5.53767665050178
AZ,2005,R,D,8,MATHEMATICS,36.0790606281563,38.1852061472321,21.1015499101466,4.63418331446504
AZ,2005,R,D,8,READING,35.3915096819365,41.5560708675144,21.4547670105852,1.5976524399638
AZ,2007,R,D,4,MATHEMATICS,26.3329292949721,43.0429920505845,26.6186060884012,4.00547256604226
AZ,2007,R,D,4,READING,44.1224643066908,31.6530603242967,19.7066848805626,4.51779048844991
AZ,2007,R,D,8,MATHEMATICS,33.5261069779052,40.2032892983479,21.4768475485745,4.79375617517236
AZ,2007,R,D,8,READING,35.1313769593958,40.5975702941774,22.3907463583906,1.88030638803616
AZ,2009,R,R,4,MATHEMATICS,29.4603282294198,42.5850002869095,24.2756104157267,3.67906106794397
AZ,2009,R,R,4,READING,43.6737890053451,31.6473471346205,19.57904187761,5.09982198242446
AZ,2009,R,R,4,SCIENCE,39.170450725694,39.1689832157372,21.4327830509038,0
AZ,2009,R,R,8,MATHEMATICS,32.5980594660118,38.4101957157192,22.8538621882395,6.13788263002959
AZ,2009,R,R,8,READING,31.6682935966231,41.4216919731364,24.3739728096564,2.53604162058405
AZ,2009,R,R,8,SCIENCE,46.3796968819182,31.8542864829854,20.9574781954805,0.808538439615939
AZ,2011,R,R,4,MATHEMATICS,22.6527783138328,43.7647782354404,29.2003667197696,4.38207673095722
AZ,2011,R,R,4,READING,41.6521866375879,32.2431681354207,20.7255335661053,5.37911166088611
AZ,2011,R,R,8,MATHEMATICS,31.845165809567,36.6854326028021,24.2602881758369,7.20911341179397
AZ,2011,R,R,8,READING,28.8261350724175,42.9369875669869,25.8167333873313,2.42014397326428
AZ,2011,R,R,8,SCIENCE,43.792333724272,33.5976020599301,21.8481350291493,0.761929186648575
AZ,2013,R,R,4,MATHEMATICS,18.0757968780655,42.3238087234218,32.3308104795237,7.26958391898901
