state,year,years_since_ald_set,pres,gov,grade,subject,ald,value
CA,2013,3,D,D,4,READING,PR,20.9858439665926
CA,2013,3,D,D,4,READING,AD,5.91556740320378
CA,2013,3,D,D,8,MATHEMATICS,BB,35.3090627541428
CA,2013,3,D,D,8,MATHEMATICS,BA,37.1156216637556
CA,2013,3,D,D,8,MATHEMATICS,PR,21.1237486466451
CA,2013,3,D,D,8,MATHEMATICS,AD,6.4515669354565
CA,2013,3,D,D,8,READING,BB,27.9092194050124
CA,2013,3,D,D,8,READING,BA,42.7780116680854
CA,2013,3,D,D,8,READING,PR,26.3179445487115
CA,2013,3,D,D,8,READING,AD,2.99482437819068
CA,2015,0,D,D,4,MATHEMATICS,BB,27.6386825575272
CA,2015,0,D,D,4,MATHEMATICS,BA,43.1983399410318
CA,2015,0,D,D,4,MATHEMATICS,PR,24.504857308257
CA,2015,0,D,D,4,MATHEMATICS,AD,4.658120193184
CA,2015,0,D,D,4,READING,BB,41.37583136478
CA,2015,0,D,D,4,READING,BA,30.8285049947462
CA,2015,0,D,D,4,READING,PR,21.5811737325281
CA,2015,0,D,D,4,READING,AD,6.21448990794564
CA,2015,0,D,D,8,MATHEMATICS,BB,36.1492126310995
CA,2015,0,D,D,8,MATHEMATICS,BA,36.7278978950842
CA,2015,0,D,D,8,MATHEMATICS,PR,20.7022691302576
CA,2015,0,D,D,8,MATHEMATICS,AD,6.4206203435588
CA,2015,0,D,D,8,READING,BB,29.7656073749008
CA,2015,0,D,D,8,READING,BA,41.8261991198
CA,2015,0,D,D,8,READING,PR,25.899612232301
CA,2015,0,D,D,8,READING,AD,2.50858127299821
CA,2017,2,D,D,4,MATHEMATICS,BB,28.983493792924
CA,2017,2,D,D,4,MATHEMATICS,BA,39.800781128935
CA,2017,2,D,D,4,MATHEMATICS,PR,24.9670636333732
CA,2017,2,D,D,4,MATHEMATICS,AD,6.24866144476786
CA,2017,2,D,D,4,READING,BB,39.0126528184512
CA,2017,2,D,D,4,READING,BA,29.8527069778235
CA,2017,2,D,D,4,READING,PR,23.0289255053434
CA,2017,2,D,D,4,READING,AD,8.1057146983819
CA,2017,2,D,D,8,MATHEMATICS,BB,37.5690754439242
CA,2017,2,D,D,8,MATHEMATICS,BA,33.2916283829212
CA,2017,2,D,D,8,MATHEMATICS,PR,19.7259796183018
CA,2017,2,D,D,8,MATHEMATICS,AD,9.41331655485286
