state,year,pres,gov,grade,subject,ald,value
AL,2011,R,R,4,READING,AD,6.51198354949223
AL,2011,R,R,8,MATHEMATICS,BB,39.8934225757914
AL,2011,R,R,8,MATHEMATICS,BA,40.0451221042463
AL,2011,R,R,8,MATHEMATICS,PR,17.2455074113533
AL,2011,R,R,8,MATHEMATICS,AD,2.815947908609
AL,2011,R,R,8,READING,BB,30.9653826800265
AL,2011,R,R,8,READING,BA,43.461137298051
AL,2011,R,R,8,READING,PR,23.5428209315546
AL,2011,R,R,8,READING,AD,2.03065909036801
AL,2011,R,R,8,SCIENCE,BB,46.8136406911393
AL,2011,R,R,8,SCIENCE,BA,33.8060914244973
AL,2011,R,R,8,SCIENCE,PR,18.7602803738036
AL,2011,R,R,8,SCIENCE,AD,0.619987510559783
AL,2013,R,R,4,MATHEMATICS,BB,24.9492844488086
AL,2013,R,R,4,MATHEMATICS,BA,45.2615453201574
AL,2013,R,R,4,MATHEMATICS,PR,26.4062770533818
AL,2013,R,R,4,MATHEMATICS,AD,3.38289317765217
AL,2013,R,R,4,READING,BB,34.5945388531121
AL,2013,R,R,4,READING,BA,34.6555856666218
AL,2013,R,R,4,READING,PR,24.2522518880898
AL,2013,R,R,4,READING,AD,6.49762359217634
AL,2013,R,R,8,MATHEMATICS,BB,40.1846703780024
AL,2013,R,R,8,MATHEMATICS,BA,40.076035094722
AL,2013,R,R,8,MATHEMATICS,PR,16.4077141243514
AL,2013,R,R,8,MATHEMATICS,AD,3.33158040292431
AL,2013,R,R,8,READING,BB,31.5749715715351
AL,2013,R,R,8,READING,BA,43.3638386390994
AL,2013,R,R,8,READING,PR,23.4337931638859
AL,2013,R,R,8,READING,AD,1.62739662547952
AL,2015,R,R,4,MATHEMATICS,BB,25.4021231875515
AL,2015,R,R,4,MATHEMATICS,BA,48.5179502018787
AL,2015,R,R,4,MATHEMATICS,PR,23.8253876086053
AL,2015,R,R,4,MATHEMATICS,AD,2.25453900196444
AL,2015,R,R,4,READING,BB,35.4981661573581
AL,2015,R,R,4,READING,BA,35.8044114243633
AL,2015,R,R,4,READING,PR,23.9239027094498
AL,2015,R,R,4,READING,AD,4.77351970882878
AL,2015,R,R,4,SCIENCE,BB,32.1102640806229
AL,2015,R,R,4,SCIENCE,BA,40.3040279885133
AL,2015,R,R,4,SCIENCE,PR,26.9689490556839
AL,2015,R,R,4,SCIENCE,AD,0.616758875179967
AL,2015,R,R,8,MATHEMATICS,BB,44.3139267177954
AL,2015,R,R,8,MATHEMATICS,BA,38.4818662307613
AL,2015,R,R,8,MATHEMATICS,PR,14.2684735835645
AL,2015,R,R,8,MATHEMATICS,AD,2.93573346787886
AL,2015,R,R,8,READING,BB,28.5343075684317
AL,2015,R,R,8,READING,BA,45.8670423620218
AL,2015,R,R,8,READING,PR,23.6801488672322
AL,2015,R,R,8,READING,AD,1.9185012023143
AL,2015,R,R,8,SCIENCE,BB,46.3306604538819
AL,2015,R,R,8,SCIENCE,BA,32.3374028801045
AL,2015,R,R,8,SCIENCE,PR,20.7729152043361
AL,2015,R,R,8,SCIENCE,AD,0.559021461677507
AL,2017,R,R,4,MATHEMATICS,BB,26.6626289924368
AL,2017,R,R,4,MATHEMATICS,BA,42.1402349211444
AL,2017,R,R,4,MATHEMATICS,PR,27.6373753713413
AL,2017,R,R,4,MATHEMATICS,AD,3.55976071507748
AL,2017,R,R,4,READING,BB,36.849168881779
AL,2017,R,R,4,READING,BA,31.7100773233384
AL,2017,R,R,4,READING,PR,24.7104656134841
AL,2017,R,R,4,READING,AD,6.73028818139861
AL,2017,R,R,8,MATHEMATICS,BB,45.3204537546662
AL,2017,R,R,8,MATHEMATICS,BA,33.9034902349884
AL,2017,R,R,8,MATHEMATICS,PR,16.2390125546865
AL,2017,R,R,8,MATHEMATICS,AD,4.53704345565896
AL,2017,R,R,8,READING,BB,32.5497945974485
AL,2017,R,R,8,READING,BA,39.7727065836005
AL,2017,R,R,8,READING,PR,25.3849382398096
AL,2017,R,R,8,READING,AD,2.29256057914141
AL,2019,R,R,4,MATHEMATICS,BB,28.5087588404784
AL,2019,R,R,4,MATHEMATICS,BA,43.3941759607694
AL,2019,R,R,4,MATHEMATICS,PR,24.7154648851373
AL,2019,R,R,4,MATHEMATICS,AD,3.38160031361482
AL,2019,R,R,4,READING,BB,42.2722215193281
AL,2019,R,R,4,READING,BA,29.5719349432065
AL,2019,R,R,4,READING,PR,22.5249876480294
AL,2019,R,R,4,READING,AD,5.63085588943597
AL,2019,R,R,8,MATHEMATICS,BB,42.7805023568397
AL,2019,R,R,8,MATHEMATICS,BA,35.9402767965779
AL,2019,R,R,8,MATHEMATICS,PR,17.3451226556505
AL,2019,R,R,8,MATHEMATICS,AD,3.93409819093188
AL,2019,R,R,8,READING,BB,36.1024076616378
AL,2019,R,R,8,READING,BA,40.3007939251969
